In Cart,Reference,Value,Part Number,Datasheet,Footprint,Qty,DNP
yes,"C3,C4",27pF,GJM1555C1H270JB01D,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf,Capacitor_SMD:C_0402_1005Metric,2,
yes,"C5,C6,C13,C15,C16,C17,C18",10u,GRM21BR71A106KA73L,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf,Capacitor_SMD:C_0805_2012Metric,7,
yes,"C7,C8,C9,C10,C11,C12",100n,RM EMK105 B7104KV-F,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf,Capacitor_SMD:C_0402_1005Metric,6,
yes,C14,100uF,EEF-CX0J101R,~,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,1,
yes,"C19,C20,C21,C22",ECA-2AHG471,ECA-2AHG471,ECA-2AHG471,avid_footprints:ECA_2AHG471,4,
yes,"CR1,CR2",PMEG6020ER_115,PMEG6020ER_115,PMEG6020ER_115,avid_footprints:CFP3_SOD123W_NEX,2,
yes,D1,LED Green,LTST-S270KGKT,http://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf,LED_SMD:LED_0603_1608Metric,1,
yes,D2,LED Red,LTST-S270KRKT,http://optoelectronics.liteon.com/upload/download/DS22-2000-210/LTST-S270KRKT.pdf,LED_SMD:LED_0603_1608Metric,1,
yes,IC1,"TJA1049T,118","TJA1049T,118",http://www.nxp.com/docs/en/data-sheet/TJA1049.pdf,"avid_footprints:TJA1049T,118",1,
yes,IC2,MC1413DR2G,MC1413DR2G,https://www.3dcontentcentral.cn/download-model.aspx?catalogid=171&id=401458,avid_footprints:SOIC127P600X175-16N,1,
yes,"J1,J7,J11,J15",87833-1019,87833-1019,https://www.molex.com/pdm_docs/sd/878331019_sd.pdf,avid_footprints:87833-1019,4,
yes,"J2,J6,J10,J14",430451000,430451000,430451000,avid_footprints:430451000,4,
yes,"J3,J8,J12,J16",10018783-10101TLF,10018783-10101TLF,,avid_footprints:AMPHENOL_10018783-10101TLF,4,
,"J4,J39",Conn_02x12_Counter_Clockwise,,~,Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical,2,
Mouser,J5,DT13-08PB,DT13-08PB,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773962-8&DocType=Data%20Sheet&DocLang=English&PartCntxt=DT13-08PB&DocFormat=pdf,avid_footprints:DT1308PB,1,
Yes,J18,691137710002,691137710002,691137710002,avid_footprints:691137710002,1,
yes,J20,901362102,901362102,901362102,avid_footprints:901362102,1,
yes,J21,ENC1,901362105,901362105,avid_footprints:901362105,1,
yes,J22,ENC2,901362105,901362105,avid_footprints:901362105,1,
yes,J23,901362104,901362104,901362104,avid_footprints:901362104,1,
yes,"J24,J25,J26",LED,901362104,901362104,avid_footprints:901362104,3,
,J32,Conn_02x07_Odd_Even,DNP,https://www.toby.co.uk/uploads/publications/1673.pdf,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,1,
,"J33,J34",Conn_01x03,DNP,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,2,
yes,J36,USB_OTG,10103594-0001LF,https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pd,avid_footprints:USB_Micro-B_EDAC_UCON00686,1,
yes,"J37,J38",690-008-221-904,672984090,https://www.molex.com/pdm_docs/sd/672984090_sd.pdf,avid_footprints:MOLEX_USB_67298-4090,2,
Yes,"LED1,LED2",QTLP650C2TR,QTLP650C2TR,"https://media.digikey.com/pdf/Data%20Sheets/Everlight%20PDFs/QTLP650(C,D)-2,3,4,7,B.pdf",avid_footprints:LEDC3216X130N,2,
yes,Module1,ComputeModule4,,,avid_footprints:Raspberry-Pi-4-Compute-Module,1,
yes,Q1,BSS806NH6327XTSA1,BSS806NH6327XTSA1,https://www.infineon.com/dgdl/Infineon-BSS806N-DS-v02_03-en.pdf?fileId=db3a304330f686060131185f0553451c,SOT95P240X110-3N,1,
yes,"R1,R2,R9,R11,R14",10k,RNCS1206BKE10K0,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5,
Yes,"R3,R31",120 1/4W,RT1206DRE07120RL,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
yes,"R4,R6",4k,RMCF1206FT4K02,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
yes,"R5,R7",1k 1/8w,RNCS1206BKE1K00,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
yes,R8,100k 1/8W,RNCS1206BKE100K,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,
yes,"R10,R12",YC164-JR-072KL,YC164-JR-072KL,,avid_footprints:RESCAXE80P320X160X70-8N,2,
yes,"R13,R15","86ohm, 1/10w",RC1206FR-0786R6L,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
yes,"R16,R33",22k,RC1206FR-0722KL,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,
yes,"R19,R22",1k,RK73H1ETTP1001F,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0402_1005Metric,2,
,R20,0R,,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,
,R21,nf,,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,
yes,"R23,R24",2.2K 1%,RC0402FR-072K2L,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0402_1005Metric,2,
yes,"R25,R26,R27,R29",36K 1%,CRCW040236K0FKED,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0402_1005Metric,4,
,R28,12K 1%,RC0402FR-0712KL ,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0402_1005Metric,1,
yes,R30,15K 1%,CRCW040215K0FKED,https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf,Resistor_SMD:R_0402_1005Metric,1,
Yes,R32,4.7k,RC1206JR-074K7L,~,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,
yes,SW1,XA1E-BV302-R,XA1E-BV302-R,,XA1E-BV302-R:XA1E-BV302-R,1,
,"TP1,TP2",TestPoint,,,TestPoint:TestPoint_Pad_2.0x2.0mm,2,
"Yes, connectors",U1,ABX00042,Portenta H7,,avid_footprints:MODULE_ABX00042_2,1,
yes,U3,1k,YC248-JR-071KL ,YC248-JR-071KL ,avid_footprints:RES_YC248_4X1P6_YAG,1,
yes,U4,~,XB3-24AST-J,,avid_footprints:XB3-24AST-J,1,
yes,"U7,U8",74LVC1G07SE-7,74LVC1G07SE-7,https://www.diodes.com/assets/Datasheets/74LVC1G07.pdf,Package_TO_SOT_SMD:SOT-353_SC-70-5,2,
yes,U9,FSUSB42MUX,FSUSB42MUX,https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF,Package_SO:MSOP-10_3x3mm_P0.5mm,1,
yes,U10,USB2514B-I/M2,USB2514B-I/M2,http://ww1.microchip.com/downloads/en/DeviceDoc/00001692C.pdf,Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,
yes,U11,TPD4EUSB30,CDDFN10-3324P,http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf,Package_SON:USON-10_2.5x1.0mm_P0.5mm,1,
yes,U12,AP22653W6,AP22653W6,https://www.diodes.com/assets/Datasheets/AP255x.pdf,Package_TO_SOT_SMD:SOT-23-6,1,
Newark,Y1,24MHz,QCS24.0000F18B23M,~,Crystal:Crystal_SMD_HC49-SD,1,
