"Source:","C:\Users\jaowe\Documents\Projects\GR-LRR-PCB\GR-LRR-POWER-PCB\GR-LRR-POWER-PCB.kicad_sch"
"Date:","12/11/2023 11:57:41 AM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","26"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Part Number","STANDARD"
"1","2","BT1, BT2","Battery","Device:Battery","","~","","","","","","","","","","",""
"2","3","C1, C2, C3","100PX220MEFC12.5X20","100PX220MEFC12.5X20:100PX220MEFC12.5X20","100PX220MEFC12.5X20:CAP_PK&slash_PZ_12P5X20_LOW_RUB","100PX220MEFC12.5X20","","","","","","","","","","100PX220MEFC12.5X20",""
"3","2","C4, C7","330uF, 50V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series,TypeA.pdf","","","","","","","","","","ECA-1HM331B",""
"4","1","C5","1uF, 50v","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL21B105KBFNNNG_Spec.pdf","","","","","","","","","","CL21B105KBFNNNG",""
"5","2","C6, C8","1uF, 10V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.samsungsem.com/kr/support/product-search/mlcc/CL21B105KPFNNNE.jsp","","","","","","","","","","CL21B105KPFNNNE",""
"6","1","C9","470uF, 10V","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","https://www.vishay.com/docs/40002/293d.pdf","","","","","","","","","","293D477X9010E2TE3",""
"7","2","Conn1, Conn2","~","MakitaBatteryAdapter:MakitaBatteryAdapter","","","","","","","","","","","","",""
"8","2","CY1, CY2","1nF, 2kV","Device:C","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812C102KGRACAUTO","","","","","","","","","","C1812C102KGRACAUTO",""
"9","1","D1","SMCJ40A","SMCJ40A:SMCJ40A","SMCJ40A:DIOM7959X262N","","","","LittelFuse","2.62mm","","","","","11/20/15","SMCJ40A","IPC-7351B"
"10","1","IC1","TLV75533PDBVR","TLV75533PDBVR:TLV75533PDBVR","SOT95P280X145-5N","http://www.ti.com/lit/gpn/tlv755p","","1.45","","","Texas Instruments","TLV75533PDBVR","595-TLV75533PDBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV75533PDBVR?qs=55YtniHzbhAKEwqeO2xJXQ%3D%3D","","TLV75533PDBVR",""
"11","1","J1","BATT1","2604-1102:2604-1102","2604-1102:2604-1102","2604-1102","","","","","","","","","","2604-1102",""
"12","1","J2","BATT2","2604-1102:2604-1102","2604-1102:2604-1102","2604-1102","","","","","","","","","","2604-1102",""
"13","1","J3","POW_SW","2604-1102:2604-1102","2604-1102:2604-1102","2604-1102","","","","","","","","","","2604-1102",""
"14","2","J4, J5","FX30B-4P-3.81DSA25","FX30B-4P-3_81DSA25:FX30B-4P-3.81DSA25","FX30B-4P-3.81DSA25:FX30B4P381DSA25","https://www.hirose.com/product/download/?distributor=digikey&type=specSheet&lang=en&num=FX30B-4P-3.81DSA25","","18.3","","","Hirose","FX30B-4P-3.81DSA25","798-FX30B-4P381DSA25","https://www.mouser.co.uk/ProductDetail/Hirose-Connector/FX30B-4P-3.81DSA25?qs=AAveGqk956E5uZL61kELgg%3D%3D","","FX30B-4P-3.81DSA25",""
"15","1","L1","047700","047700:047700","047700:047700","https://www.bourns.com/docs/Product-Datasheets/04770x.pdf","","40","","","Bourns","047700","652-47700","https://www.mouser.co.uk/ProductDetail/Bourns/047700?qs=1Kr7Jg1SGW%2F%252BZhXBevsrBQ%3D%3D","","047700",""
"16","1","L2","4.7uH, 3.1A (4.7UH, 3.3)","Device:L","XGL4018-472MEC:IND_XGL4018_COC-M","https://www.coilcraft.com/getmedia/0be7c387-0089-4e30-b8da-b9d6b0e662a5/xgl4018.pdf","","","","","","","","","","XGL4018-472MEC",""
"17","1","PS1","QSB30024S24","QSB30024S24:QSB30024S24","QSB30024S24:QSB30024S24","https://www.xppower.com/portals/0/pdfs/SF_QSB300.pdf","","13.2","","","XP POWER","QSB30024S24","209-QSB30024S24","https://www.mouser.co.uk/ProductDetail/XP-Power/QSB30024S24?qs=w%2Fv1CP2dgqqmYd6D%252BTeJBQ%3D%3D","","QSB30024S24",""
"18","1","PS2","PYBE20-Q24-S5","PYBE20-Q24-S5:PYBE20-Q24-S5","PYBE20-Q24-S5:CONV_PYBE20-Q24-S5","https://www.mouser.com/datasheet/2/670/pybe20-1525738.pdf","","","CUI Inc","","","","","","","PYBE20-Q24-S5","Manufacturer Recommendations"
